cnt,type,year,suffix
48477,ForkEvent,2019,1101
37193,ForkEvent,2018,0921
37310,ForkEvent,2019,1005
50032,ForkEvent,2019,0524
53484,ForkEvent,2019,0910
44828,ForkEvent,2019,0108
39280,ForkEvent,2018,0917
53082,ForkEvent,2019,1205
28478,ForkEvent,2019,0616
52837,ForkEvent,2019,0926
53618,ForkEvent,2019,0905
32715,ForkEvent,2019,1207
32986,ForkEvent,2019,0913
46189,ForkEvent,2019,0802
54352,ForkEvent,2019,0409
27825,ForkEvent,2019,0811
53443,ForkEvent,2019,0401
41027,ForkEvent,2019,0107
54415,ForkEvent,2019,0311
45400,ForkEvent,2018,0321
28624,ForkEvent,2019,0901
39340,ForkEvent,2019,1224
54484,ForkEvent,2019,0925
53345,ForkEvent,2019,0626
28560,ForkEvent,2019,0810
55234,ForkEvent,2019,1203
41632,ForkEvent,2019,0503
57998,ForkEvent,2019,0328
30295,ForkEvent,2019,0907
40476,ForkEvent,2019,0111
59075,ForkEvent,2019,1014
54057,ForkEvent,2019,0221
33915,ForkEvent,2018,0706
56122,ForkEvent,2019,0319
37987,ForkEvent,2019,0121
54269,ForkEvent,2019,0722
47034,ForkEvent,2019,0704
53048,ForkEvent,2019,0725
42152,ForkEvent,2018,0104
